iter	RMSE
0	38.37351901
1	37.66369374
2	36.69248351
3	35.94978194
4	35.41766948
5	34.81573735
6	34.03189664
7	33.38310391
8	32.73309431
9	32.22234963
10	31.49910311
11	30.96469952
12	30.31130441
13	29.86907861
14	29.44767172
15	28.6972471
16	27.96741653
17	27.4552558
18	26.82233774
19	26.14464171
20	25.63000574
21	25.15265878
22	24.65812324
23	24.24608275
24	23.65432808
25	23.06165948
26	22.74039694
27	22.31557699
28	21.92001734
29	21.4867124
30	21.13593237
31	20.74420566
32	20.34220149
33	20.01157255
34	19.57564336
35	19.33080678
36	18.99297271
37	18.58159907
38	18.12678665
39	17.90020181
40	17.60197284
41	17.25909558
42	17.01551839
43	16.81645448
44	16.47690173
45	16.20531941
46	15.88470545
47	15.54016753
48	15.34831415
49	15.00284166
50	14.72484825
51	14.39906134
52	14.12115862
53	13.79087309
54	13.48948333
55	13.27393505
56	13.00991941
57	12.74214306
58	12.49878797
59	12.28260566
60	12.00569066
61	11.78508374
62	11.6377702
63	11.44553668
64	11.29224423
65	11.07071508
66	10.82823918
67	10.61932297
68	10.42688042
69	10.29666466
70	10.15791393
71	9.958597891
72	9.834115415
73	9.701488497
74	9.570495788
75	9.450864589
76	9.312753201
77	9.189804516
78	9.066109986
79	8.943626691
80	8.806932306
81	8.672421909
82	8.564016634
83	8.457076732
84	8.312116539
85	8.155283816
86	8.053455749
87	7.952787551
88	7.837829857
89	7.739968783
90	7.624750719
91	7.52955628
92	7.435436825
93	7.327249711
94	7.235659088
95	7.142008376
96	7.05273327
97	6.964574103
98	6.874626117
99	6.784177634
100	6.694985193
101	6.600515735
102	6.518120668
103	6.432478227
104	6.340126839
105	6.260988343
106	6.182725988
107	6.105441912
108	6.029123887
109	5.953870124
110	5.879446747
111	5.806063954
112	5.733599847
113	5.658374342
114	5.587759285
115	5.517912293
116	5.449053015
117	5.380939851
118	5.313792733
119	5.247486408
120	5.182010385
121	5.117235254
122	5.053269812
123	4.990103939
124	4.927842279
125	4.866244249
126	4.805416195
127	4.745348492
128	4.686031635
129	4.627566636
130	4.569722052
131	4.512710925
132	4.456413837
133	4.400708663
134	4.345699804
135	4.291488959
136	4.237845346
137	4.184982683
138	4.132782203
139	4.081122424
140	4.030108393
141	3.979732037
142	3.930094413
143	3.880968232
144	3.832456129
145	3.784658091
146	3.737349864
147	3.69063299
148	3.644500077
149	3.598943826
150	3.553957027
151	3.509532564
152	3.465663406
153	3.422342613
154	3.379563329
155	3.337416145
156	3.295698443
157	3.254502212
158	3.213820934
159	3.173648171
160	3.134071322
161	3.09489543
162	3.056209236
163	3.01800662
164	2.980281537
165	2.943028017
166	2.906240166
167	2.869912164
168	2.834038261
169	2.798612782
170	2.763630122
171	2.729084745
172	2.694971185
173	2.661284045
174	2.628017994
175	2.595167768
176	2.562728171
177	2.530694068
178	2.499060392
179	2.467822136
180	2.436974359
181	2.406512179
182	2.376430777
183	2.346725391
184	2.317391324
185	2.288423932
186	2.259818632
187	2.231570899
188	2.203676262
189	2.176130308
190	2.148928679
191	2.12206707
192	2.095541231
193	2.069346966
194	2.043480128
195	2.017936626
196	1.992712418
197	1.967803512
198	1.943205968
199	1.918915893
200	1.894929444
201	1.871242826
202	1.84785229
203	1.824754136
204	1.801944709
205	1.7794204
206	1.757177645
207	1.735212924
208	1.713522762
209	1.692103727
210	1.67095243
211	1.650065524
212	1.629439705
213	1.609071708
214	1.588958312
215	1.569096333
216	1.549482628
217	1.530114095
218	1.510987669
219	1.492100322
220	1.473449068
221	1.455030954
222	1.436843067
223	1.418882529
224	1.401146497
225	1.383632165
226	1.366336763
227	1.349257553
228	1.332391834
229	1.315736935
230	1.299290223
231	1.283049095
232	1.267010981
233	1.251173344
234	1.235533677
235	1.220089506
236	1.204838387
237	1.189777907
238	1.174905683
239	1.160219361
240	1.145716619
241	1.131395161
242	1.117252721
243	1.103287062
244	1.089495974
245	1.075877274
246	1.062428808
247	1.049148447
248	1.036034092
249	1.023083665
250	1.010295119
251	0.9976664301
252	0.9851955995
253	0.9728806543
254	0.960719646
255	0.9487106502
256	0.9368517669
257	0.9251411197
258	0.9135768555
259	0.9021571446
260	0.8908801802
261	0.8797441777
262	0.8687473753
263	0.857888033
264	0.8471644324
265	0.8365748769
266	0.8261176907
267	0.8157912195
268	0.8055938291
269	0.795523906
270	0.7855798571
271	0.7757601087
272	0.7660631072
273	0.7564873182
274	0.7470312266
275	0.7376933361
276	0.7284721693
277	0.719366267
278	0.7103741886
279	0.7014945111
280	0.6927258296
281	0.6840667566
282	0.675515922
283	0.6670719728
284	0.658733573
285	0.6504994033
286	0.6423681606
287	0.6343385585
288	0.6264093264
289	0.6185792097
290	0.6108469694
291	0.6032113822
292	0.5956712398
293	0.5882253492
294	0.5808725322
295	0.5736116255
296	0.56644148
297	0.5593609614
298	0.5523689493
299	0.5454643373
