iter	Passed	Remaining
0	59	17825
1	60	9054
2	61	6039
3	61	4525
4	62	3707
5	63	3089
6	63	2645
7	63	2313
8	63	2058
9	64	1874
10	64	1703
11	65	1562
12	66	1471
13	66	1368
14	67	1277
15	67	1198
16	67	1126
17	67	1061
18	67	1003
19	68	952
20	68	906
21	68	865
22	68	826
23	68	791
24	69	759
25	69	735
26	69	706
27	69	679
28	70	655
29	70	632
30	70	610
31	70	590
32	70	572
33	70	554
34	71	539
35	71	523
36	71	508
37	71	494
38	71	480
39	71	467
40	72	455
41	72	443
42	72	433
43	72	423
44	72	413
45	73	403
46	73	393
47	73	384
48	73	376
49	73	367
50	73	360
51	74	353
52	74	345
53	74	338
54	74	331
55	74	325
56	74	319
57	75	313
58	75	308
59	75	302
60	75	296
61	75	291
62	76	286
63	76	281
64	76	276
65	76	271
66	76	267
67	77	262
68	77	258
69	77	254
70	77	249
71	77	246
72	77	241
73	77	238
74	78	234
75	78	230
76	78	226
77	78	223
78	78	220
79	78	216
80	79	213
81	79	210
82	79	207
83	79	204
84	80	203
85	80	200
86	80	197
87	81	195
88	81	192
89	81	190
90	81	187
91	81	184
92	82	182
93	82	180
94	82	177
95	82	175
96	82	173
97	83	171
98	84	170
99	84	168
100	84	166
101	85	165
102	85	163
103	85	161
104	85	159
105	85	157
106	86	155
107	86	153
108	86	151
109	86	150
110	87	148
111	87	146
112	87	144
113	87	143
114	88	141
115	88	139
116	88	138
117	88	136
118	89	135
119	89	133
120	89	132
121	89	131
122	90	129
123	90	128
124	90	126
125	90	125
126	91	124
127	91	122
128	91	121
129	91	119
130	91	118
131	92	117
132	92	115
133	92	114
134	92	113
135	92	112
136	93	110
137	93	109
138	93	108
139	93	107
140	93	105
141	94	104
142	94	103
143	94	102
144	94	101
145	94	100
146	95	98
147	95	97
148	95	96
149	95	95
150	95	94
151	96	93
152	96	92
153	96	91
154	96	90
155	96	89
156	97	88
157	97	87
158	97	86
159	97	85
160	97	84
161	98	83
162	98	82
163	98	81
164	98	80
165	98	79
166	98	78
167	99	77
168	99	76
169	99	76
170	99	75
171	99	74
172	99	73
173	100	72
174	100	71
175	100	70
176	100	69
177	100	69
178	101	68
179	101	67
180	101	66
181	101	65
182	101	65
183	101	64
184	102	63
185	102	62
186	102	61
187	102	61
188	102	60
189	103	59
190	103	58
191	103	58
192	103	57
193	103	56
194	104	56
195	104	55
196	104	54
197	104	53
198	104	53
199	105	52
200	105	51
201	105	51
202	105	50
203	105	49
204	105	49
205	106	48
206	106	47
207	106	47
208	106	46
209	106	45
210	106	45
211	107	44
212	107	43
213	107	43
214	107	42
215	107	41
216	108	41
217	108	40
218	108	40
219	108	39
220	108	38
221	108	38
222	109	37
223	109	37
224	109	36
225	109	35
226	109	35
227	109	34
228	110	34
229	110	33
230	110	33
231	111	32
232	111	31
233	111	31
234	111	30
235	111	30
236	112	29
237	112	29
238	112	28
239	112	28
240	112	27
241	112	27
242	113	26
243	113	26
244	113	25
245	113	24
246	113	24
247	114	23
248	114	23
249	114	22
250	114	22
251	114	21
252	114	21
253	115	20
254	115	20
255	115	19
256	115	19
257	115	18
258	115	18
259	116	17
260	116	17
261	116	16
262	116	16
263	116	15
264	117	15
265	117	14
266	117	14
267	117	14
268	117	13
269	117	13
270	118	12
271	118	12
272	118	11
273	118	11
274	118	10
275	118	10
276	119	9
277	119	9
278	119	8
279	119	8
280	119	8
281	120	7
282	120	7
283	120	6
284	120	6
285	120	5
286	120	5
287	121	5
288	121	4
289	121	4
290	121	3
291	121	3
292	122	2
293	122	2
294	122	2
295	122	1
296	122	1
297	122	0
298	123	0
299	123	0
